word,word_count,x_coord,y_coord,rank
pehi,1153,-4.42187,-0.94850576,571
noema,1151,2.0736077,1.2822737,572
hauraki,1149,4.731176,-2.1289725,573
kohi,1149,-1.62548,0.75116235,574
hatarei,1144,2.0317814,0.24020156,575
whiu,1141,-4.7570033,-1.3259317,576
taringa,1133,-1.0158746,-3.5906358,577
kararehe,1132,-0.08514765,-5.644825,578
niu,1131,-7.136721,0.033849582,579
pupuhi,1131,-2.4094357,-4.061124,580
tutu,1130,-4.211395,-1.9112328,581
whakaputa,1127,-2.1674821,3.1662245,582
paku,1125,0.023211023,-4.3197927,583
papawai,1124,2.0087898,2.285119,584
porowini,1123,0.3156586,4.445574,585
komihana,1122,0.6138286,5.064776,586
whaea,1119,0.24638306,-1.0835586,587
peeke,1119,-0.05503661,-4.8930287,588
puhera,1116,2.9377494,-6.0508,589
parani,1109,1.12819,-5.3145914,590
pata,1108,1.9347054,-6.4433155,591
whakahau,1099,-1.5706867,3.0913026,592
manuao,1097,-4.8389926,-4.7435026,593
tetehi,1093,-2.6393728,-3.3575633,594
niu_tirani,1093,-5.4128113,-2.4828324,595
papai,1091,0.8087749,-5.4945803,596
perehi,1091,0.23831972,3.4359791,597
tekiona,1090,-1.5935925,5.2860003,598
tupeka,1089,1.2637296,-6.33963,599
rino,1087,0.3043892,-5.803536,600
kareti,1080,-0.41263604,-1.6868963,601
ringaringa,1079,-1.2955198,-4.3461204,602
tahae,1077,-4.898303,-1.3614733,603
mahitaone,1075,1.389953,-0.014463497,604
kawana_kerei,1073,1.1873928,2.9307666,605
otaki,1067,4.0684614,-0.1837534,606
mane,1064,2.0726144,0.3479277,607
waipounamu,1063,1.5357801,1.421059,608
nuku,1058,-5.9172,-2.4224255,609
rotorua,1056,3.4585612,0.3533525,610
toko,1053,-2.5847244,-2.2910986,611
tukunga,1052,-1.5571278,4.111596,612
tuakana,1052,0.8211276,-0.83287704,613
puku,1048,-1.193014,-5.195299,614
tawahi,1044,0.30102563,-2.6963968,615
rangimarie,1043,-2.684097,-0.08867265,616
manaaki,1043,-2.5536587,0.21971793,617
rerenga,1041,-2.6404219,-4.612044,618
konga,1034,0.29613593,1.7706171,619
tunga,1032,0.3823081,1.7018284,620
whakahaerea,1031,-1.3419993,4.0582933,621
ino,1031,-5.268478,3.7137136,622
peka,1024,0.029575191,-3.2702641,623
rangatiratanga,1020,-3.0400026,-0.8119871,624
moenga,1018,-0.10551529,-4.048216,625
puutu,1013,0.9443176,-3.8812232,626
oho,1006,-3.5073504,-2.1613944,627
poto,1005,-2.4979317,-4.3543835,628
kanga,1005,-0.081384696,-7.029955,629
hokianga,1005,5.8429713,-1.8640636,630
inea,1004,-6.115006,3.2679539,631
tiati,1003,0.3946785,5.39033,632
haunga,997,-3.5275931,-0.8452025,633
hohepa,996,5.7495112,1.6067204,634
rangona,995,-4.1991715,-0.9147686,635
